fecha_divorcio,fecha_matrimonio,sexo_1,sexo_2
2020-12-04",1985-03-08",NO DECLARA",NO DECLARA"
2020-01-07",1985-03-22",NO DECLARA",F"
2020-12-30",1985-05-03",NO DECLARA",NO DECLARA"
2020-12-03",1985-05-03",NO DECLARA",NO DECLARA"
2020-03-11",1985-04-18",M",F"
2020-01-08",1985-01-10",NO DECLARA",NO DECLARA"
2020-12-17",1985-01-10",NO DECLARA",NO DECLARA"
2020-09-17",1985-01-25",M",NO DECLARA"
2020-02-18",1985-04-25",NO DECLARA",F"
2020-10-02",1995-04-06",M",F"
2020-10-28",1998-10-26",M",F"
2020-12-21",1998-02-12",M",F"
2020-12-01",1998-10-22",M",F"
2020-02-19",1998-10-15",M",F"
2020-11-12",1988-10-20",NO DECLARA",NO DECLARA"
2020-03-03",1998-07-01",M",F"
2020-08-03",1998-03-20",M",F"
2020-09-11",1998-11-06",M",F"
2020-01-28",1998-11-05",M",F"
2020-11-17",1998-05-29",M",F"
2020-11-20",1998-05-08",M",F"
2020-12-01",1998-01-30",M",F"
2020-07-30",1998-07-02",M",F"
2020-10-23",1998-09-18",M",F"
2020-12-18",1998-09-25",M",F"
2020-01-08",1994-03-10",NO DECLARA",NO DECLARA"
2020-12-04",1997-09-18",M",F"
2020-11-20",1998-04-02",M",F"
2020-03-10",1998-12-11",M",F"
2020-11-24",1997-10-10",M",F"
2020-08-18",1998-09-11",M",F"
2020-08-13",1999-12-10",M",F"
2020-08-06",1988-02-26",NO DECLARA",NO DECLARA"
2020-01-10",1991-11-14",NO DECLARA",DESCONOCIDO"
2020-01-06",2001-01-11",M",F"
2020-12-09",1998-03-26",M",F"
2020-08-26",1998-12-03",M",F"
2020-11-25",1998-07-02",M",F"
2020-01-07",1998-01-16",M",F"
2020-12-14",1998-12-09",M",F"
2020-12-23",1998-06-11",M",F"
2020-03-16",1998-03-20",M",F"
2020-12-10",1986-11-27",NO DECLARA",NO DECLARA"
2020-03-04",1998-06-26",M",F"
2020-12-04",1998-12-04",M",F"
2020-02-20",1998-12-03",M",F"
2020-11-20",1998-11-12",M",F"
2020-01-15",1998-12-11",M",F"
2020-01-08",1987-01-09",NO DECLARA",NO DECLARA"
2020-12-01",1998-11-06",M",DESCONOCIDO"
2020-11-13",1998-03-26",M",F"
2020-01-02",1987-10-09",NO DECLARA",NO DECLARA"
2020-12-10",1998-08-07",M",F"
2020-01-08",1998-03-06",M",F"
2020-02-13",2001-07-13",M",F"
2020-03-09",1998-02-13",M",F"
2020-03-09",1998-12-09",M",F"
2020-12-18",1998-03-06",M",F"
2020-02-06",1988-11-23",NO DECLARA",NO DECLARA"
2020-08-07",1996-12-20",M",F"
2020-08-16",1998-06-12",M",F"
2020-02-28",1998-06-19",M",F"
2020-11-24",1998-04-17",M",F"
2020-02-18",1997-12-26",M",F"
2020-09-09",1993-10-22",M",F"
2020-12-10",1998-08-28",M",F"
2020-11-04",1998-10-28",M",F"
2020-12-24",1999-06-17",M",F"
2020-09-16",1988-10-28",NO DECLARA",NO DECLARA"
2020-12-03",1999-01-15",M",F"
2020-03-11",1999-12-17",M",F"
2020-03-04",1999-12-02",M",F"
2020-08-03",1999-03-24",M",F"
2020-08-25",1999-10-28",M",F"
2020-03-02",1999-01-07",M",F"
2020-11-04",1999-08-18",M",F"
2020-12-02",1999-12-09",M",F"
2020-11-12",1999-10-01",M",F"
2020-10-08",1999-06-25",M",F"
